Player_ID,Player,Team,Position
P014120   ,"GUR, LAVI",TEL,SF
P013304   ,"HANKINS, ZACHARY",TEL,C
P006835   ,"HOARD, JAYLEN",TEL,PF
P014120   ,"LAVI, GUR",TEL,SF
P014012   ,"LEAF, TJ",TEL,PF
P010781   ,"LUNDBERG, IFFE",TEL,PG
P014121   ,"OMORUYI, CLIFFORD",TEL,C
P013381   ,"RAYMAN, WILLIAM",TEL,SF
P013289   ,"SANTOS, MARCIO",TEL,C
P011219   ,"SORKIN, ROMAN",TEL,PF
P007673   ,"TRIFUNOVIC, UROS",TEL,SF
P013403   ,"WALKER IV, LONNIE",TEL,SG
P014015   ,"BACOT JR., ARMANDO",ULK,C
P009863   ,"BALDWIN IV, WADE",ULK,PG
P006961   ,"BIBEROVIC, TARIK",ULK,SF
P007182   ,"BIRCH, KHEM",ULK,C
P003091   ,"BIRSEN, METECAN",ULK,PF
P007929   ,"BITIM, ONURALP",ULK,SF
P014016   ,"BOSTON JR., BRANDON",ULK,SG
P009783   ,"COLSON, BONZIE",ULK,SF
P002100   ,"DE COLO, NANDO",ULK,PG
P011205   ,"HALL, DEVON",ULK,SG
P014124   ,"HORTON TUCKER, TALEN",ULK,PG
P012613   ,"JANTUNEN, MIKAEL",ULK,PF
P002969   ,"MAHMUTOGLU, MELIH",ULK,SG
P002849   ,"MELLI, NICOLO",ULK,C
P014220   ,"SILVA, CHRIS",ULK,C
P006661   ,"WILBEKIN, SCOTTIE",ULK,PG
P008104   ,"ZAGARS, ARTURS",ULK,PG
P013027   ,"ACCORSI, MATTEO",VIR,PG
P011816   ,"AKELE, NICOLA",VIR,SF
P014005   ,"ALSTON JR., DERRICK",VIR,PF
P013028   ,"BAIOCCHI, MATTEO",VIR,SF
P007705   ,"CANKA, ABRAMO",VIR,SG
P014108   ,"DIARRA, ALIOU",VIR,C
P013374   ,"DIOUF, MOUHAMET",VIR,C
P011987   ,"EDWARDS, CARSEN",VIR,SG
P014219   ,"FERRARI, FRANCESCO",VIR,SF
P001844   ,"HACKETT, DANIEL",VIR,PG
P005422   ,"JALLOW, KARIM",VIR,SF
P012585   ,"MORGAN, MATTHEW",VIR,PG
P012687   ,"NIANG, SALIOU",VIR,SF
P006739   ,"PAJOLA, ALESSANDRO",VIR,PG
P011051   ,"SMAILAGIC, ALEN",VIR,PF
P014004   ,"TAYLOR, BRANDON",VIR,PG
P007947   ,"VILDOZA, LUCA",VIR,PG
P005504   ,"BIRUTIS, LAURYNAS",ZAL,C
P011983   ,"BRAZDEIKIS, IGNAS",ZAL,SF
P002676   ,"BUTKEVICIUS, ARNAS",ZAL,SF
P012185   ,"DAUBARIS, DOMINYKAS",ZAL,C
P007975   ,"FRANCISCO, SYLVAIN",ZAL,PG
P007513   ,"GIEDRAITIS, DOVYDAS",ZAL,PG
P007032   ,"LO, MAODO",ZAL,PG
P012977   ,"MIKALAUSKAS, KAJUS",ZAL,PG
P009299   ,"RUBSTAVICIUS, MANTAS",ZAL,SG
P007029   ,"SIRVYDIS, DEIVIDAS",ZAL,SG
P011927   ,"SLEVA, DUSTIN",ZAL,PF
P008192   ,"TUBELIS, AZUOLAS",ZAL,PF
P002329   ,"ULANOVAS, EDGARAS",ZAL,SF
P007982   ,"WILLIAMS-GOSS, NIGEL",ZAL,PG
P012878   ,"WRIGHT, MOSES",ZAL,C
